ubuntu   pts/1        128.223.223.183  Mon Jul 31 16:35   still logged in
mitchm   pts/0        107.170.205.145  Mon Jul 31 15:27 - 16:35  (01:07)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 09:31 - 09:31  (00:00)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 07:18 - 07:19  (00:00)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 06:19 - 06:19  (00:00)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 05:11 - 05:11  (00:00)
pogrebin pts/0        73.164.228.201   Mon Jul 31 04:09 - 04:12  (00:03)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 03:59 - 04:00  (00:00)
nsato10  pts/0        73.240.200.192   Mon Jul 31 03:46 - 03:47  (00:00)
menif    pts/0        174.30.39.181    Mon Jul 31 03:35 - 03:35  (00:00)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 01:37 - 01:37  (00:00)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 01:01 - 01:01  (00:00)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:25 - 23:26  (00:00)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:24 - 23:25  (00:01)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:23 - 23:23  (00:00)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:22 - 23:23  (00:00)
stevep   pts/0        73.11.34.126     Sun Jul 30 23:22 - 23:22  (00:00)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 23:19 - 23:19  (00:00)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:13 - 23:13  (00:00)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:10 - 23:10  (00:00)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 21:30 - 21:31  (00:01)
aziz94sh pts/0        73.190.85.145    Sun Jul 30 21:19 - 21:25  (00:06)
slynch   pts/0        73.96.196.228    Sun Jul 30 21:07 - 21:09  (00:01)
nboyd    pts/0        198.0.43.123     Sun Jul 30 20:12 - 20:13  (00:01)
houllett pts/0        73.37.34.93      Sun Jul 30 17:02 - 17:02  (00:00)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 07:36 - 07:37  (00:00)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 06:51 - 06:52  (00:00)
jemin    pts/0        198.0.62.98      Sun Jul 30 02:39 - 02:41  (00:02)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 00:42 - 00:42  (00:00)
mister_p pts/0        76.115.147.191   Sun Jul 30 00:41 - 00:41  (00:00)
mister_p pts/0        76.115.147.191   Sun Jul 30 00:40 - 00:41  (00:00)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 00:40 - 00:40  (00:00)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 00:36 - 00:39  (00:03)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 00:18 - 00:19  (00:01)
ubuntu   pts/0        76.115.147.191   Sat Jul 29 21:48 - 23:14  (01:26)
ubuntu   pts/0        70.210.137.226   Sat Jul 29 13:35 - 13:35  (00:00)
ubuntu   pts/0        76.115.147.191   Sat Jul 29 10:28 - 10:29  (00:00)
mister_p pts/0        76.115.147.191   Sat Jul 29 09:56 - 10:28  (00:32)
ubuntu   pts/0        76.115.147.191   Sat Jul 29 01:17 - 01:18  (00:01)
cplachno pts/0        128.223.223.117  Fri Jul 28 22:47 - 22:47  (00:00)
dholsteg pts/0        75.170.49.50     Fri Jul 28 22:22 - 22:22  (00:00)
levishut pts/0        128.223.223.90   Fri Jul 28 22:21 - 22:21  (00:00)
ubuntu   pts/0        128.223.223.182  Fri Jul 28 22:00 - 22:00  (00:00)
jsheabia pts/0        24.20.175.13     Fri Jul 28 21:35 - 21:35  (00:00)
ubuntu   pts/0        128.223.223.182  Fri Jul 28 16:26 - 16:26  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 28 14:36 - 14:59  (00:23)
ubuntu   pts/0        76.115.147.191   Fri Jul 28 06:26 - 06:26  (00:00)
ubuntu   pts/0        76.115.147.191   Fri Jul 28 01:36 - 01:38  (00:01)
ubuntu   pts/1        128.223.223.197  Fri Jul 28 00:10 - 00:14  (00:03)
jsheabia pts/0        24.20.175.13     Thu Jul 27 23:01 - 01:13  (02:11)
mister_p pts/0        128.223.223.197  Thu Jul 27 22:31 - 22:31  (00:00)
ubuntu   pts/0        128.223.223.194  Thu Jul 27 22:10 - 22:10  (00:00)
jsheabia pts/0        24.20.175.13     Thu Jul 27 18:11 - 18:20  (00:08)
cnf      pts/0        128.223.16.206   Thu Jul 27 16:54 - 16:55  (00:00)
ubuntu   pts/0        128.223.223.131  Thu Jul 27 16:50 - 16:51  (00:00)
ubuntu   pts/0        70.210.135.110   Thu Jul 27 16:00 - 16:02  (00:01)
ubuntu   pts/0        128.223.223.195  Wed Jul 26 22:25 - 22:26  (00:01)
ubuntu   pts/0        128.223.223.195  Wed Jul 26 22:18 - 22:18  (00:00)
ubuntu   pts/0        128.223.223.246  Wed Jul 26 20:18 - 20:18  (00:00)
